id,mun_ibge6,mun_ibge7,mun_municipio,mun_codreg,mun_regional,mun_codmac,mun_macroreg,features_geometry_coordinatesp,mun_longitude,mun_latitude
200,211190,2111904,Sucupira do Norte,21015,São João dos Patos,2103,Leste,"[-44.19237,-6.47748]",-44.1923,-6.4774
201,211195,2111953,Sucupira do Riachão,21015,São João dos Patos,2103,Leste,"[-43.54637,-6.41148]",-43.5463,-6.4114
202,211200,2112001,Tasso Fragoso,21003,Balsas,2103,Sul,"[-45.74338,-8.47549]",-45.7433,-8.4754
203,211210,2112100,Timbiras,21007,Codó,2102,Leste,"[-43.94137,-4.25546]",-43.9413,-4.2554
204,211220,2112209,Timon,21017,Timon,2102,Leste,"[-42.83736,-5.09447]",-42.8373,-5.0944
205,211223,2112233,Trizidela do Vale,21010,Pedreiras,2102,Leste,"[-44.62837,-4.53846]",-44.6283,-4.5384
206,211227,2112274,Tufilândia,21014,Santa Inês,2101,Norte,"[-45.55438,-3.72946]",-45.5543,-3.7294
207,211230,2112308,Tuntum,21012,Presidente Dutra,2102,Leste,"[-44.64937,-5.25847]",-44.6493,-5.2584
208,211240,2112407,Turiaçu,21011,Pinheiro,2101,Norte,"[-45.37238,-1.66345]",-45.3723,-1.6634
209,211245,2112456,Turilândia,21011,Pinheiro,2101,Norte,"[-45.34338,-2.20145]",-45.3433,-2.2014
210,211250,2112506,Tutóia,21006,Chapadinha,2101,Norte,"[-42.27436,-2.76245]",-42.2743,-2.7624
211,211260,2112605,Urbano Santos,21009,Itapecuru-Mirim,2101,Norte,"[-43.40436,-3.20846]",-43.4043,-3.2084
212,211270,2112704,Vargem Grande,21009,Itapecuru-Mirim,2101,Norte,"[-43.91637,-3.54346]",-43.9163,-3.5434
213,211280,2112803,Viana,21018,Viana,2101,Norte,"[-45.00438,-3.22046]",-45.0043,-3.2204
214,211285,2112852,Vila Nova dos Martírios,21001,Açailândia,2103,Sul,"[-48.1364,-5.18847]",-48.1364,5..1884
215,211290,2112902,Vitória do Mearim,21009,Itapecuru-Mirim,2101,Norte,"[-44.87137,-3.46246]",-44.8713,-3.4624
216,211300,2113009,Vitorino Freire,21002,Bacabal,2101,Norte,"[-45.25138,-4.28246]",-45.2513,-4.2824
217,211400,2114007,Zé Doca,21019,Zé Doca,2101,Norte,"[-45.82438,-3.24346]",-45.8243,-3.2434
